Rivet 3.1.1 running on machine aligentest.cern.ch (x86_64) at 2022-04-15 14:17:07
Reading events from '/tmp/p8R3.fifo'
Event 43200 (0:08:32 elapsed)
Event 43300 (0:08:33 elapsed)
Event 43400 (0:08:34 elapsed)
Event 43500 (0:08:36 elapsed)
Event 43600 (0:08:37 elapsed)
Event 43700 (0:08:38 elapsed)
Event 43800 (0:08:39 elapsed)
Event 43900 (0:08:40 elapsed)
Event 44000 (0:08:41 elapsed)
Event 44100 (0:08:42 elapsed)
Event 44200 (0:08:43 elapsed)
Event 44300 (0:08:44 elapsed)
Event 44400 (0:08:45 elapsed)
Event 44500 (0:08:46 elapsed)
Event 44600 (0:08:47 elapsed)
Event 44700 (0:08:48 elapsed)
Event 44800 (0:08:49 elapsed)
Event 44900 (0:08:51 elapsed)
Event 45000 (0:08:52 elapsed)
Event 45100 (0:08:53 elapsed)
Event 45200 (0:08:54 elapsed)
Event 45300 (0:08:56 elapsed)
Event 45400 (0:08:57 elapsed)
Event 45500 (0:08:58 elapsed)
Event 45600 (0:08:59 elapsed)
Event 45700 (0:09:00 elapsed)
Event 45800 (0:09:02 elapsed)
Event 45900 (0:09:03 elapsed)
Event 46000 (0:09:04 elapsed)
Event 46100 (0:09:05 elapsed)
Event 46200 (0:09:06 elapsed)
Event 46300 (0:09:07 elapsed)
Event 46400 (0:09:08 elapsed)
Event 46500 (0:09:10 elapsed)
Event 46600 (0:09:11 elapsed)
Event 46700 (0:09:13 elapsed)
Event 46800 (0:09:14 elapsed)
Event 46900 (0:09:15 elapsed)
Event 47000 (0:09:16 elapsed)
Event 47100 (0:09:17 elapsed)
Event 47200 (0:09:18 elapsed)
Event 47300 (0:09:19 elapsed)
Event 47400 (0:09:21 elapsed)
Event 47500 (0:09:22 elapsed)
Event 47600 (0:09:23 elapsed)
Event 47700 (0:09:24 elapsed)
Event 47800 (0:09:26 elapsed)
Event 47900 (0:09:27 elapsed)
Event 48000 (0:09:28 elapsed)
Event 48100 (0:09:29 elapsed)
Event 48200 (0:09:30 elapsed)
Event 48300 (0:09:31 elapsed)
Event 48400 (0:09:32 elapsed)
Event 48500 (0:09:34 elapsed)
Event 48600 (0:09:35 elapsed)
Event 48700 (0:09:35 elapsed)
Event 48800 (0:09:37 elapsed)
Event 48900 (0:09:38 elapsed)
Event 49000 (0:09:39 elapsed)
Event 49100 (0:09:40 elapsed)
Event 49200 (0:09:41 elapsed)
Event 49300 (0:09:42 elapsed)
Event 49400 (0:09:44 elapsed)
Event 49500 (0:09:45 elapsed)
Event 49600 (0:09:46 elapsed)
Event 49700 (0:09:47 elapsed)
Event 49800 (0:09:48 elapsed)
Event 49900 (0:09:49 elapsed)
Event 50000 (0:09:50 elapsed)
Event 50100 (0:09:51 elapsed)
